Identifiant;Titre;Date;Auteur;PaysENG;Source;Issn;Vl;Num;Pagination;Langue;Resume;Thematique;TNP;SousThematique;STNP;MotCle;Url
PASCAL/FRANCIS:27429931;Political geographies of the object;2013;"MARSTON (S.A.); MEEHAN (K.); SHAW (I.G.R.)";"UNITED KINGDOM; UNITED STATES";Political geography;0962-6298;33;;1-10;Anglais;<Resume>Les AA. analysent le rôle des objets dans la constitution et l'exercice du pouvoir dans le cadre de la série policière télévisée «The Wire » tournée à Baltimore (Maryland). Ils expliquent comment les trois objets importants que sont les mises sur écoute, les caméras et les tests standardisés organisent-ils les conditions de ce qui relève du pouvoir de l'Etat. Pour ce faire, ils proposent une méthodologie basée sur la philosophie orientée-objets qui suggère que ce sont les relations de force qui gouvernent la population plutôt que les relations sociales. Ils démontrent que cette série policière est un objet de force et concluent par les implications de leur approche appliquée à la compréhension de la nature du pouvoir et de manière plus générale à la géographie politique</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;BGI / PRODIG;BGI / PRODIG;"Géographie politique; Objet; Philosophie; Pouvoir; Relations de force; Rôle de l'Etat; Serie télévisée; Baltimore; Etats-Unis; Maryland";http://dx.doi.org/10.1016/j.polgeo.2012.11.002
PASCAL/FRANCIS:27293856;Succès et déboires des séries télévisées turques à l'international. Une influence remise en question;2013;PARIS (J.);;Hérodote (Paris);0338-487X;;148;156-170;Français;"<Resume>En prenant pour exemple le cas de la diffusion de feuilletons turcs en Grèce et ses effets supposés bénéfiques aux ""puissances douces"", l'article tente d'analyser les atouts et les mécanismes permettant aux fictions audiovisuelles de s'insérer dans un marché régional spécifique en termes de contenus culturels. L'A. constate que les valeurs véhiculées dans ces séries, et qui constituent des atouts, sont à la base même des critiques que subit la Turquie sur la scène diplomatique régionale, sur plusieurs fronts et dans différents registres</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;BGI / PRODIG;BGI / PRODIG;"Audiovisuel; Consommation; Culturel; Diffusion; Internationalisation; Sphère d'influence; Série télévisée; Turquie";http://dx.doi.org/10.3917/her.148.0156
PASCAL/FRANCIS:14-0263109;American Masculinity in Crisis: Cordell Walker and the Indianized White Hero;2014;FITZGERALD (Michael Ray);UNITED STATES;American Indian culture and research journal;0161-6463;38;2;67-88;Anglais;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Américain; Blancs; Héros; Indianisation; Masculinité; Représentation; Série télévisée; Amérique du Nord; Etats-Unis";http://aisc.metapress.com/content/l453620377880254/
PASCAL/FRANCIS:14-0185165;Teaching sociology seminars through The Simpsons: Homer under C. Wright Mills' Eye;2014;NEFES (Türkay Salim);UNITED KINGDOM;Journal of sociology : (South Melbourne);1440-7833;50;2;115-131;Anglais;<Resume>The academic literature on the use of television shows in sociology education has successfully highlighted the value of the practice, but has not afforded any examples from seminar teaching. This article contributes to the discussion by demonstrating how The Simpsons, an American animated television sitcom, assists in teaching sociology seminars. The article suggests that using The Simpsons in group-based, participatory teaching and the learning environments of seminars helps students to understand sociological theories and develop their sociological imagination. It shows the application of the cartoon series to seminars of a Sociology of Belonging module and tests the value of the practice by drawing on responses to student satisfaction surveys and in-class observations. The results illustrate that the cartoon helps to highlight sociological theories and improve students' sociological imagination. The research concludes that the sociology curriculum would benefit from developing particular ways of using The Simpsons according to course content.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Appartenance; Charles Wright Mills; Culture populaire; Dessin animé; Enseignement de la sociologie; Imagination sociologique; Programme d'enseignement";http://dx.doi.org/10.1177/1440783312440755
PASCAL/FRANCIS:14-0060968;Parables as indicators of popular wisdom: The making of piety culture in Turkish television dramas;2013;ISIK (Nuran Erol);TURKEY;European journal of cultural studies : (Print);1367-5494;16;5;565-581;Anglais;"<Resume>This article attempts to evaluate the articulation of folk cultural symbols in the context of TV drama to discuss the process whereby the act of storytelling becomes a tool for mediated and moralised teaching. Investigating the relatively new sphere of popular piety offers a suitable avenue for evaluating the nature of popular wisdom; the process by which popular TV dramas borrow from folk culture and popular religion has become a new area of investigation because new mediatised forms of folk culture are now a common feature of many television genres. Tracing the emergent patterns of storytelling, this article analyses narratives extracted from two well-known TV serials, Kurtlar Vadisi (Valley of Wolves) and Deli Yürek (Crazy Heart) in Turkey. It is argued that in both serials the meditative role of the mentor, which involves narrating parables for the hero's benefit, constitutes one of the significant rhetorical strategies for reconstructing a piety culture.</Resume>";SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Culture populaire; Drame; Dévotion populaire; Narration d'histoires; Parabole; Religion populaire; Rhétorique; Stratégie discursive; Série télévisée; Turquie";http://dx.doi.org/10.1177/1367549413491722
PASCAL/FRANCIS:14-0054246;Expertise, spectacle et société : Les chercheurs au coeur de l'expertise;2012;DAYEZ-BURGEON (Pascal);FRANCE;Hermès : (Paris. 1988);0767-9513;;64;164-165;Français;;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Expertise; Industrie culturelle; Opinion publique; Spectacle; Série télévisée";http://hdl.handle.net/2042/48404
PASCAL/FRANCIS:14-0046873;Showtime's 'female problem': Cancer, quality and motherhood;2013;BRADSHAW (Lara);UNITED STATES;Journal of consumer culture;1469-5405;13;2;160-177;Anglais;<Resume>Since the debut of the TV series Weeds in 2005, the cable network Showtime has developed a reputation for programming content based on the anti-heroine mother protagonist. This programming trend - which also includes The United States of Tara, Nurse Jackie and, most recently, The Big C - demonstrates the network's success. In this way, Showtime pushes against the dominant trends of 'quality television's' preference for male-centered programs (The Sopranos, The Wire, etc.) with narratives featuring middle-aged females and the contemporary issues that they face as women and mothers. I use theorist Diane Negra's notion of 'time-anxiety' trope in postfeminist representations of women, motherhood, consumerism and time. For Negra, the 'time-anxiety' trope is a marketing tool based on the biological categorization of essential female experiences, which include themes of motherhood, marriage and anti-aging. Turing to trade and magazine publications, I use the term 'female problem' to investigate Showtime's programming and marketing based on female mental and physical illness and its relevance to a broader, postmodern female experience. Using The Big C as a case study, I am interested in the show's depiction of cancer as a larger cultural metaphor for the failures of motherhood and anxieties around consumerism. At the same time, the show's investment in female experience fails to account for female bodies that differ from the white, middle-class and youthful protagonist.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Consommation; Emission télévisée; Maternité; Programmation; Santé";http://dx.doi.org/10.1177/1469540513480169
PASCAL/FRANCIS:14-0042959;QUESTIONS IDENTITAIRES ET IMAGES MÉDIATIQUES AU BRÉSIL: NOIRS ET INDIENS AU MIROIR DES TELENOVELAS : Anthropologie des médias: objets, épistémiologies et perspectives;2013;THOMAS (Erika);FRANCE;Tsantsa : (Bern);1420-7834;;18;56-64;Français;<Resume>The question of collective identity has played an important role in Brazilian society and has been reflected in its cultural productions such as cinematographic or television production. From the start, that collective identity - which has its roots in the historical encounter between Africans, Europeans and indigenous people - was founded on forms of domination, inequality and oppression. After the slavery abolition in 1888, the whitening ideology, a political program influenced by pseudo-scientific racism, encouraged the arrival of massive European immigration to the country in order to «whiten» the Brazilian population and dilute the black presence. Later on, in the 30</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;ETHNOLOGY;Ethnology;"Amérindien; Identité; Image; Média; Noirs; Représentation; Série télévisée; Amérique du Sud; Brésil";http://cat.inist.fr/?aModele=afficheN&cpsidt=27907688
PASCAL/FRANCIS:14-0015185;The ars moriendi of US serial television: Towards a good textual death;2013;LEE HARRINGTON (C.);UNITED STATES;International journal of cultural studies : (Print);1367-8779;16;6;579-595;Anglais;<Resume>While a growing body of scholarship explores narrative beginnings, much less is known about narrative endings or narrative 'deaths'. In this article I draw on media studies as well as gerontological and thanatological literature to explore the endings of US serial television, focusing on the criteria required for a 'good textual death'. Situated in the notion that cultural objects have a biography or a life span much as individuals do, I ultimately explore the implications of a thanatology of media studies.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;SOCIOLOGY;Sociology;"Critère; Mort; Média; Narration d'histoires; Série télévisée; Thanatologie; Etats-Unis";http://dx.doi.org/10.1177/1367877912459146
PASCAL/FRANCIS:13-0341503;From colliding billiard balls to colluding desperate housewives: causal Bayes nets as rational models of everyday causal reasoning;2012;"HAGMAYER (York); OSMAN (Magda)";UNITED KINGDOM;Synthese : (Dordrecht);0039-7857;189;;17-28;Anglais;<Resume>Many of our decisions pertain to causal systems. Nevertheless, only recently has it been claimed that people use causal models when making judgments, decisions and predictions, and that causal Bayes nets allow us to formally describe these inferences. Experimental research has been limited to simple, artificial problems, which are unrepresentative of the complex dynamic systems we successfully deal with in everyday life. For instance, in social interactions, we can explain the actions of other's on the fly and we can generalize from limited observations to predict future actions and their consequences. Our main argument is that none of these inferences (i.e., induction, generalization, explanation, and prediction) can be achieved without causal reasoning. As a case in point we use the popular television series desperate housewives and show how causal Bayes nets are able to explain the inferences made in social contexts. Crucially, causal Bayes nets also allow us to understand why we can infer so much from so little when making sense of a protagonist's behavior.</Resume>;SOCIAL SCIENCES & HUMANITIES;Social Sciences & Humanities;PHILOSOPHY;Philosophy;Théorie de la connaissance;http://dx.doi.org/10.1007/s11229-012-0162-3
